											
----- General Data -----											
Measurement	Type: EndPoint, Time: 06/11/2020 / 12:04:33, State: Valid Measurement										
Template	Template loaded during measurement time : c:\programdata\...\luminescence\lumi_1s.par; Modified template adjustments										
Files	Data file : 5FU_HCT_4-5_assay3.dat - 06/11/2020 / 12:05:51 - Operator was Unknown User - Created with Version 5.17										
	Template file : C:\ProgramData\...\Lumi_1s.par - 04/07/2013 / 08:57:06 - Created by Unknown User - Created with Version 5.16.01										
Reader	BertholdTech TriStar, Driver Version: 1.07, (1.0.7.0), S/N: 25-1047, Embedded Version: 1.04										
	Plate Type: Berthold 96 - No:23300/23302										
	Name .....................  Measurement										
	Counting Time [s] ........  1.00                Measurement Mode .........  by Well										
	Emission Filter ..........  No Filter										
	Second Measurement .......  No										
Calculation	Calculation Status : Valid Assay, Calculation Time : 06/11/2020 / 12:05:51										
Program	MikroWin, Version 5.17; License No. : 115317										
	Assembly Code A : 0006 0000 0000 0000 0000 FFFF										
	Assembly Code B : 00E6 F715 C08F FC45 2DC0 B7AF										
System	Operating System Name : Windows 7 Professional Service Pack 1, 64-bit, System User : commun										
Printer	Printer Name : \\fuji\fax-rdc										
											
----- Threshold Statistics -----											
Group	Assay	Set	Threshold Limits								
Group 1	Default	1	+oo > Overload >= 2,1475E9 > #Value >=    0,0000 > _ > -oo								
											
											
											
06/11/2020	12:04:33										
0	0	0	0	0	0	0	0	0	0	0	0
0	257403	291332	256493	254229	200446	138177	107945	95509	92912	57480	0
0	279276	294894	307188	264480	207531	138676	103710	83856	82431	64359	0
0	288110	245576	326749	262121	196900	139871	95881	79716	78291	56110	0
0	407835	426462	369378	274660	201531	115521	79431	83096	65784	34214	0
0	433626	447242	457240	356466	233449	142104	81402	75964	48724	38481	0
0	365816	389279	381030	301805	198926	117041	70367	73082	51772	34657	0
0	0	0	0	0	0	0	0	0	0	0	0
